Ghost-al Vote
1em
territory,alignment,holder,emPosX,emPosY
Kingstanding,nos,Mr Streed,-5.5,-19
Erdington,lance,Axel Warden,12,-16
Witton,enemy,???,0,-13
Perry Barr,enemy,???,-17,-11.5
Handsworth,invictus,Madame Lee,-46,-10
Lozells,enemy,???,-32.5,-7
Aston,enemy,???,-19.5,-4
City Centre,enemy,???,-9.5,-1.5
Nechells,enemy,???,-1,-6
Ward End,enemy,???,8,-2
Hodge Hill,ventrue,Madame Simmons,18,-4
Castle Bromwich,enemy,???,24,-11
Lea Hall,enemy,???,33,-1
Summerfield,personal,Jasper Carlyle,-32,2
Ladywood,enemy,???,-20,6
The Rack,court,NONE,-9,4.5
Sparkbrook,enemy,???,1,7.5
Bordesley Green,enemy,???,13,5
Yardley,mekhet,Vesper Raeden,25,5
Marston Green,enemy,???,35,11
Acocks Green,gangrel,Lykofron,22,14
Tyseley,enemy,???,10,13
Yardley Wood,enemy,???,12,22
Kings Heath,ordo,Chester Willard,-2,26
Moseley,enemy,???,-1,16
Kings Norton,enemy,???,-21,28
Bournville,crone,Keir of Haworth,-16,21
Selly Oak,enemy,???,-19,14.5
Edgbaston,enemy,???,-9,10.5
Harborne,enemy,???,-32,10
Quinton,daeva,Acacia Smith,-45,9
Bartley Green,enemy,???,-46,17
Weoley,carthian,Cora Gettins,-33,18
Northfield,enemy,???,-39,26
ADJACENCY,810,90,730,275,0.75
